2_mars;13748.673819573667;138
la_gironde;12652.777131861661;61
les_princesses;21194.416563466893;39
mers_sultan;14338.172589440095;51
sidi_moumen;6603.3505884230735;1758
ain_borja;16355.955791752098;139
anfa;18212.00759293752;81
tit_mellil;6838.257338575253;59
derb_omar;17202.649750857945;14
lissasfa;7534.886859304999;72
ben_m_sick;20608.752239971815;157
sidi_othmane;13843.839163943485;66
triangle_d_or;25104.93937658516;24
quartier_des_hopitaux;15949.644080038704;83
hay_inara;11116.101002267234;37
hay_hassani;24920.433405439584;167
route_d_el_jadida;9238.83590891956;22
derb_ghallef;13006.02728609193;23
ain_diab;19392.244645505518;29
sidi_bernoussi;8932.236192667411;1169
ain_sebaâ;14596.412585897993;569
hay_moulay_rachid;17933.881064967038;170
maarif;14606.196278757787;352
route_d_azemmour;6627.634440389927;18
dar_bouazza;7736.598038052929;967
sbata;9656.188647568642;67
sidi_maarouf;11054.22450203893;536
val_fleuri;257975.14416588048;81
benmsik;7371.587698754614;28
californie;15602.040540721318;246
ben_ejdia;18531.90405134788;23
c_i_l;12965.674591813598;16
beausejour;13782.04688794428;78
sidi_rehal;7367.623568725668;460
palmier;87015.89204680489;27
al_fida;34423.27314343547;52
oasis;13430.774196306253;14
oulfa;11795.158154943127;691
gauthier;21077.132375257162;64
racine;21620.597994397078;93
ain_chock;23317.299993254226;281
errahma;9662.133287686456;206
hay_mohammadi;13597.325980592777;138
roches_noires;9609.551976993429;74
bourgogne;13878.557777869952;214
belvedere;9960.296815407984;183
centre_ville;10627.96910695141;108
