"annee";"mois";"titre";"prix";"nb_pieces";"surface";"secteur";"adresse"
"2015";"9";" Appartement 24 m2 à Rabat Quartier de l'Océan ";"260000";"1";"24 m²";"quartier_de_l_ocean";"عمارة الوحدة رقم 70 شارع نابولي حي المحيط "
"2015";"9";" Appartement 59 m2 à Rabat ";"680000";"2";"59 m²";"autre_secteur";"Guich Oudaya par Témara "
"2015";"9";" Appartement 73 m2 à Rabat ";"500000";"2";"73 m²";"autre_secteur";"tamesna "
"2015";"9";" 2 apartemmnt 98m tetré fonsi ";"470000";"4";"98 m²";"autre_secteur";"ain uoda "
"2015";"9";" Appartement 316 m2 à Rabat Agdal ";"3800000";"3";"316 m²";"agdal";"A cote de Ibis Hotel et Gare Agdal Rabat "
"2015";"9";" Jolie appartement a sala al jadida ";"600000";"3";"84 m²";"autre_secteur";"sala al jadida pres station afriquia "
"2015";"9";" Appartement 159 m2 à Rabat Quartier de l'Océan ";"1900000";"5";"159 m²";"quartier_de_l_ocean";"rue rome"
"2015";"9";" Appartement 130 m2 à Rabat Yacoub El Mansour ";"1900000";"3";"130 m²";"yacoub_el_mansour";"- "
"2015";"9";" Appartement à tamesna rez-chausser ";"220000";"2";"50 m²";"autre_secteur";"Nour 1 immouble 397 appartement 1 tamesna "
"2015";"9";" Appartement 80 m2 à Rabat Hay Nahda ";"1150000";"3";"80 m²";"hay_nahda";"app 1 res nakhil 2 hay nahda1 rabat "
"2015";"9";" Appartement 150 m2 à Rabat Hay Riad 3ch/2,5sdb ";"3000000";"3";"150 m²";"hay_riad";"Mehdi Ben Barka "
"2015";"9";" Appartement 70 m2 à Rabat Hay Nahda ";"650000";"3";"70 m²";"hay_nahda";"fadesa hay nahda ext quart ind "
"2015";"9";" Appartement 65 m2 à Rabat Quartier de l'Océan ";"840000";"3";"65 m²";"quartier_de_l_ocean";"Avenue "
"2015";"9";" Appartement 60 m2 à Rabat Agdal ";"900000";"1";"60 m²";"agdal";"agdal "
"2015";"9";" Appartement 74 m2 à Rabat Quartier de l'Océan ";"960000";"3";"74 m²";"quartier_de_l_ocean";"5 residence amina rue Athene angle Zanzibar "
"2015";"9";" Joli Appartement 48 m2 pas cher ";"320000";"3";"48 m²";"autre_secteur";"Annour 2 "
"2015";"9";" Appartement 168 m2 à Rabat Agdal ";"3000000";"4";"168 m²";"agdal";"Rue Al Khataouate Agdal "
"2015";"9";" Appartement 120 m2 à Rabat Diour Jamaa ANNONCE DE PROFESSIONNEL ";"14500";"4";"120 m²";"diour_jamaa";"- "
"2015";"9";" Appartement 111m à hassan ";"1670000";"3";"111 m²";"hassan";"zan9at tanja "
"2015";"9";" Appartement 145 m2 à Rabat Hay Riad ANNONCE DE PROFESSIONNEL ";"3500000";"5";"145 m²";"hay_riad";"hay riad "
"2015";"9";" Très joli appartement á vendre ";"1290000";"3";"100 m²";"hay_el_fath";"immoble 9 "
"2015";"9";" Appartement a diour jamae ";"890000";"3";"66 m²";"diour_jamaa";"rue farahat hachad diour jamae "
"2015";"9";" Appartement 89 m2 à Rabat Agdal ";"1300000";"3";"89 m²";"agdal";"Avenue Hassan II "
"2015";"9";" Appartement 70 m2 à Aviation ";"900000";"3";"70 m²";"aviation";"- "
"2015";"9";" Appartement a hay nahda 1 ";"5000";"3";"80 m²";"hay_nahda";"hay nahda 1 "
"2015";"9";" Appartement 118 m2 à Rabat Hassan ANNONCE DE PROFESSIONNEL ";"2300000";"3";"118 m²";"hassan";"15 place rabia al addaouia appt 1 agdal rabat "
"2015";"9";" Appartement meublé a hay nahda 1 ";"4000";"3";"60 m²";"hay_nahda";"hay nahda 1 "
"2015";"9";" Appartement al Agdal rabat ";"1340000";"3";"80 m²";"agdal";"rue oued fes Agdal "
"2015";"9";" Appartement dumlexe à kbibat ANNONCE DE PROFESSIONNEL ";"1900000";"3";"140 m²";"autre_secteur";"kbibat pres tribunal "
"2015";"9";" Appartement deux pièces 43 m2 à temara al wifaq ";"410000";"2";"43 m²";"autre_secteur";"Temara alwifak "
"2015";"9";" Appartement 65 m2 à Rabat Hay el Fath ";"700000";"3";"65 m²";"hay_el_fath";"hay fath "
"2015";"9";" شقة بحي لاسيكون للبيع ";"890000";"3";"66 m²";"diour_jamaa";"rue farahat hachad diour jamae "
"2015";"9";" Appartement 131 m2 à Rabat Hay Riad ";"18000";"5";"131 m²";"hay_riad";"hay riad rabat "
"2015";"9";" Appartement 110 m2 à Rabat Agdal ";"2300000";"5";"110 m²";"agdal";"haut agdal "
"2015";"9";" Appartement a vendre de 83 m2 au quartier Irfane ";"1328000";"3";"83 m²";"hay_riad";"Quartier Irfane "
"2015";"9";" Appartement 71 m2 à Rabat Hassan ";"900000";"3";"71 m²";"hassan";"7 Rue Sebta Avenue Hassan 2 "
"2015";"9";" Appartement agdal ";"1600000";"3";"85 m²";"agdal";"Agdal "
"2015";"9";" Appartement 185 m2 à Rabat Hay el Fath ";"1580000";"5";"185 m²";"hay_el_fath";"Appartement 185 m2 à Rabat Hay el Fath "
"2015";"9";" Spacieux appartement de 230m2 à hay riad ANNONCE DE PROFESSIONNEL ";"4800000";"6";"230 m²";"hay_riad";"secteur11"
"2015";"9";" Appartement de rêve à Hay Riad ANNONCE DE PROFESSIONNEL ";"3600000";"5";"175 m²";"hay_riad";"en face de la nouvelle Acima"
"2015";"9";" Appartement de rêves ac piscine à Hay Riad ANNONCE DE PROFESSIONNEL ";"5700000";"6";"390 m²";"hay_riad";"secteur 23"
"2015";"9";" Appartement 133 m2 à Rabat Hassan ";"2660000";"5";"133 m²";"hassan";"- "
"2015";"9";" Appartement 123 m2 à Rabat Hassan ";"2600000";"3";"123 m²";"hassan";"- "
"2015";"9";" Appartement 82 m2 à HARHOURA ";"1350000";"4";"82 m²";"autre_secteur";"- "
"2015";"9";" Appartement 62 m2 à temara ";"600000";"3";"62 m²";"autre_secteur";"temara hay maghrib al arabi zone commerciale "
"2015";"9";" Appartement 55 m2 à Rabat Les Oudayas ";"580000";"3";"55 m²";"les_oudayas";"- "
"2015";"9";" Appartements a vendre ";"700000";"3";"100 m²";"autre_secteur";"Harhoura rabat "
"2015";"9";" Appartement à vendre ";"10500000";"2";"50 m²";"hay_riad";"prestigia "
"2015";"9";" Appartement 117m2 à Résidence el Mountazah Rabat ANNONCE DE PROFESSIONNEL ";"1380000";"3";"117 m²";"hay_el_fath";"Résidence el Mountazah Hay El Fath "
"2015";"9";" Appartement de 96m2 sur Résidence Al Menzeh Rabat ANNONCE DE PROFESSIONNEL ";"1100000";"4";"96 m²";"yacoub_el_mansour";"Résidence El Menzeh "
"2015";"9";" Appartement de 90m2 sur Résidence Al Menzeh Rabat ANNONCE DE PROFESSIONNEL ";"950000";"4";"96 m²";"yacoub_el_mansour";"Résidence El Menzeh "
"2015";"9";" Appart 117m2 à Résidence el Boustane Hay Fath ANNONCE DE PROFESSIONNEL ";"1400000";"5";"117 m²";"hay_el_fath";"Résidence El Boustane Hay El Fath "
"2015";"9";" Appart 96m2 à Résidence el Boustane Hay el Fath ANNONCE DE PROFESSIONNEL ";"1300000";"4";"96 m²";"hay_el_fath";"Résidence El Boustane Hay El Fath "
"2015";"9";" Appartement 68 m2 à Rabat Quartier de l'Océan ";"780000";"2";"68 m²";"quartier_de_l_ocean";"- "
"2015";"9";" Appartement 133m2 à Résidence Mimouza Hay el Fath ANNONCE DE PROFESSIONNEL ";"1700000";"5";"133 m²";"hay_el_fath";"Résidence Mimouza Hay El Fath "
"2015";"9";" Duplex de 146 m2 sur Karrakchou Hay el Massira 2 ANNONCE DE PROFESSIONNEL ";"1700000";"5";"146 m²";"massira";"Massira 2 karrakchou Rabat "
"2015";"9";" Joli Appartement de 96m2 sur Résidence Assabah ANNONCE DE PROFESSIONNEL ";"860000";"4";"96 m²";"yacoub_el_mansour";"Résidence Assabah C"
"2015";"9";" Appart de 104m2 sur Résidence Dyar Al Mansour ANNONCE DE PROFESSIONNEL ";"1340000";"4";"104 m²";"yacoub_el_mansour";"Résidence Dyar Al Mansour "
"2015";"9";" Appartement 330 m2 haut Agdal ANNONCE DE PROFESSIONNEL ";"5800000";"4";"330 m²";"agdal";"Haut agdal "
"2015";"9";" Appartement 340 m2 haut Agdal ANNONCE DE PROFESSIONNEL ";"6120000";"4";"340 m²";"agdal";"Haut agdal "
